TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS;LIQUIDEZ MEDIA DIARIA;VPA;LPA;PEG Ratio;VALOR DE MERCADO
AALR3;7,10;;-3,19;0,83;0,31;30,10;1,60;-22,81;45,40;86,62;40,90;0,75;0,73;-3,76;-0,39;0,74;-25,92;-9,58;-0,51;0,37;0,62;0,42;0,13;;723.496,74;8,58;-2,22;-0,03;845.793.634,40
ABCB4;24,62;6,41;6,02;1,02;0,10;25,50;17,06;15,50;5,47;5,45;;;0,93;-2,85;-0,10;0,05;16,95;1,73;;0,10;0,91;0,11;18,70;17,80;16.791.969,32;24,15;4,09;-0,33;5.816.781.156,80
ABEV3;12,53;5,83;13,09;2,19;1,43;50,30;22,59;18,29;10,60;9,78;-0,75;-0,15;2,39;53,25;-1,97;1,11;16,71;10,94;18,63;0,65;0,34;0,60;10,72;15,72;362.855.994,53;5,73;0,96;0,86;196.135.224.385,80
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;0,55;;-6,24;0,84;0,18;12,62;9,03;-3,39;2,34;5,86;3,51;1,26;0,21;0,83;-0,55;1,46;-13,42;-2,86;10,53;0,21;0,79;0,84;;;2.684.560,53;0,66;-0,09;-0,03;683.322.163,15
AESB3;10,70;;40,82;1,44;0,32;35,54;28,78;4,90;6,95;16,91;9,96;2,06;2,00;19,72;-0,39;1,11;3,53;0,80;5,04;0,23;0,72;0,16;;;26.996.076,97;7,43;0,26;-0,60;6.440.622.227,70
AFLT3;7,12;3,69;14,66;1,72;1,44;57,31;45,58;44,72;14,38;14,01;-0,38;-0,05;6,56;14,72;-1,79;1,98;11,71;9,80;10,57;0,84;0,16;0,22;24,96;19,61;6.668,13;4,15;0,49;-0,20;449.163.064,00
AGRO3;23,99;13,39;9,60;1,12;0,70;30,65;20,17;20,86;9,93;11,79;1,85;0,21;2,00;3,43;-1,14;2,14;11,68;7,31;7,59;0,63;0,37;0,35;27,22;15,22;8.957.926,85;21,40;2,50;-0,22;2.463.375.821,56
AGXY3;1,79;2,22;-1,21;0,30;0,04;12,31;3,90;-2,43;0,75;3,34;2,59;1,03;0,03;1,34;-0,18;1,04;-24,61;-3,22;11,82;0,13;0,87;1,33;;;453.036,85;6,00;-1,48;0,00;305.776.730,31
AHEB3;16,10;;1,41;8,24;0,37;33,84;21,93;17,66;1,14;1,12;-0,02;-0,17;0,25;2,40;-0,65;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;5.567,50;1,95;11,39;0,00;137.681.829,04
AHEB5;16,61;;1,46;8,50;0,38;33,84;21,93;17,66;1,18;1,12;-0,02;-0,17;0,26;2,48;-0,67;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.661,00;1,95;11,39;0,00;137.681.829,04
AHEB6;17,02;;1,49;8,71;0,39;33,84;21,93;17,66;1,20;1,12;-0,02;-0,17;0,26;2,54;-0,69;1,55;582,53;26,18;533,83;0,04;0,96;1,48;20,77;;1.702,00;1,95;11,39;0,00;137.681.829,04
ALLD3;7,60;12,70;9,31;0,46;0,20;12,55;3,39;1,31;3,61;4,89;1,28;0,16;0,12;0,70;-0,67;1,73;4,90;2,20;7,91;0,45;0,55;1,67;14,71;32,13;160.519,35;16,66;0,82;3,04;709.408.629,02
ALOS3;24,87;2,09;4,55;0,97;0,51;96,37;264,05;140,12;2,42;2,13;-0,28;-0,11;6,38;13,91;-0,57;1,58;21,32;11,20;27,21;0,53;0,43;0,08;25,65;86,64;83.322.067,44;25,62;5,46;0,00;14.227.895.974,11
ALPA3;10,14;;-24,60;1,29;0,88;40,37;-9,97;-7,36;-18,14;-19,79;-2,17;0,15;1,81;3,12;-1,44;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;46.612,53;7,89;-0,41;0,15;6.726.991.041,94
ALPA4;9,56;;-23,19;1,21;0,83;40,37;-9,97;-7,36;-17,10;-19,79;-2,17;0,15;1,71;2,94;-1,36;3,51;-5,22;-3,56;-8,00;0,68;0,32;0,48;2,36;;45.047.241,24;7,89;-0,41;0,14;6.726.991.041,94
ALPK3;4,57;;-9,16;2,61;0,39;29,90;10,81;-8,39;7,10;15,75;8,65;3,17;0,77;-3,31;-0,45;0,55;-28,46;-4,21;7,28;0,15;0,85;0,50;3,17;;539.489,94;1,75;-0,50;0,26;991.799.794,25
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALUP11;31,41;5,73;12,85;1,27;0,34;75,83;71,87;23,53;4,21;8,12;3,91;1,18;3,02;3,77;-0,42;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;18.936.789,62;24,75;2,44;-0,60;9.572.466.620,88
ALUP3;10,79;5,56;13,25;1,31;0,35;75,83;71,87;23,53;4,34;8,12;3,91;1,18;3,12;3,88;-0,43;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;141.910,00;8,25;0,81;-0,62;9.572.466.620,88
ALUP4;10,29;5,83;12,63;1,25;0,33;75,83;71,87;23,53;4,14;8,12;3,91;1,18;2,97;3,70;-0,41;1,89;9,87;2,63;9,39;0,27;0,62;0,11;20,04;17,61;181.738,47;8,25;0,81;-0,59;9.572.466.620,88
AMAR3;2,02;;-0,23;1,28;0,06;35,54;-16,35;-26,68;-0,38;-3,42;-3,04;10,33;0,06;-0,42;-0,09;0,75;-554,09;-24,09;-27,15;0,04;0,96;0,90;-0,89;;1.808.271,71;1,57;-8,71;0,00;138.508.535,64
AMBP3;15,55;0,86;-20,47;2,62;0,25;23,51;18,46;-2,69;2,98;8,17;5,19;4,56;0,55;1,03;-0,43;2,30;-12,82;-1,21;8,16;0,09;0,84;0,45;83,52;;11.437.371,03;5,92;-0,76;0,09;2.597.501.062,95
AMER3;0,54;;-0,04;-0,02;0,02;19,46;-30,26;-50,03;-0,06;-2,20;-2,14;;0,02;-0,01;-0,03;0,34;-48,42;-41,26;202,73;-0,85;1,85;0,82;32,64;;10.458.606,79;-29,55;-14,31;0,00;487.365.931,62
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;5,08;;-21,99;0,80;0,21;57,97;10,96;-2,54;5,10;15,04;9,94;1,57;0,56;11,73;-0,26;1,10;-3,66;-0,94;0,24;0,26;0,70;0,37;27,79;;25.649.142,76;6,32;-0,23;0,29;2.051.653.529,40
APER3;40,13;0,81;30,94;0,96;0,56;100,00;11,00;5,02;14,13;13,78;-0,35;-0,02;1,55;-25,85;-0,71;0,90;3,12;1,82;5,96;0,58;0,42;0,36;22,90;;221.180,61;41,62;1,30;-1,27;460.697.777,42
APTI3;197,64;;-0,12;0,02;0,01;92,39;-162,78;-88,96;-0,07;-0,52;0,27;-0,07;0,11;0,02;-0,01;9,26;-14,45;-6,44;-28,38;0,45;0,55;0,07;4,07;;;11.460,45;-1.656,52;0,00;44.442.750,00
APTI4;3.500,00;;-2,11;0,31;0,14;92,39;-162,78;-88,96;-1,15;-0,52;0,27;-0,07;1,88;0,38;-0,23;9,26;-14,45;-6,44;-28,38;0,45;0,55;0,07;4,07;;;11.460,45;-1.656,52;0,00;44.442.750,00
ARML3;13,45;0,26;27,62;3,84;1,17;48,07;34,23;13,57;10,95;14,28;3,33;1,17;3,75;6,90;-1,70;2,22;13,89;4,25;12,06;0,31;0,69;0,31;;;7.124.902,85;3,51;0,49;0,81;4.653.915.751,45
ARZZ3;63,36;3,05;18,28;2,43;1,25;53,60;11,50;8,13;12,92;13,74;0,82;0,16;1,49;13,77;-2,38;1,23;13,30;6,83;13,38;0,51;0,48;0,84;25,49;20,02;159.803.371,76;26,05;3,47;-1,21;7.032.276.092,16
ASAI3;14,94;0,33;21,39;4,67;0,49;16,45;5,04;1,53;6,47;9,57;3,10;2,24;0,33;-5,91;-0,72;0,79;21,83;2,28;16,55;0,10;0,90;1,50;;;141.428.108,88;3,20;0,70;-0,52;20.196.388.008,00
ATMP3;2,56;;0,06;-4,08;0,04;-31,36;-45,63;347,29;-0,45;-1,46;-1,02;;0,20;-3,92;-0,06;0,96;-6.969,53;76,61;-72,03;-0,01;1,01;0,22;-16,95;;27.401,41;-0,63;43,76;0,00;68.378.511,36
ATOM3;1,95;16,43;-573,08;2,54;1,65;92,38;-4,89;-0,35;-40,47;-22,52;17,95;-1,13;1,98;1,79;-75,11;17,09;-0,44;-0,29;-8,88;0,65;0,35;0,83;;;24.502,38;0,77;0,00;5,69;46.419.551,10
AURA33;34,22;5,60;9,46;1,43;0,57;36,53;24,61;12,67;4,87;6,07;1,21;0,35;1,20;3,82;-0,93;1,64;15,08;6,07;12,15;0,40;0,60;0,48;32,13;68,75;1.773.164,71;24,00;3,62;-0,26;2.420.806.981,20
AURE3;12,03;28,26;5,93;0,86;0,39;21,10;24,36;34,01;8,28;9,18;0,90;0,09;2,02;3,23;-0,51;1,92;14,52;6,50;0,61;0,45;0,55;0,19;;;63.089.704,62;13,96;2,03;0,01;12.030.000.000,00
AVLL3;4,10;;-1,75;-1,26;0,60;32,90;-54,45;-118,56;-3,81;-8,66;-4,85;;2,08;-0,86;-0,81;0,28;-71,88;-34,00;-43,28;-0,47;1,47;0,29;19,61;;32.088,16;-3,26;-2,34;-0,30;800.853.250,10
AZEV3;1,34;;-5,35;1,61;0,37;11,50;-8,21;-8,58;-5,58;-6,36;-1,02;0,29;0,46;-5,78;-0,63;0,86;-30,05;-6,99;-43,18;0,23;0,77;0,82;43,23;;573.085,41;0,83;-0,25;0,01;214.929.201,94
AZEV4;1,25;;-4,99;1,50;0,35;11,50;-8,21;-8,58;-5,21;-6,36;-1,02;0,29;0,43;-5,39;-0,58;0,86;-30,05;-6,99;-43,18;0,23;0,77;0,82;43,23;;2.878.153,88;0,83;-0,25;0,01;214.929.201,94
AZUL4;14,39;;-14,90;-0,86;0,93;21,10;12,33;-6,75;8,15;13,52;11,28;;1,01;-2,24;-1,33;0,42;-5,74;-6,23;42,22;-1,09;2,09;0,92;15,41;;165.649.303,56;-16,83;-0,97;0,33;5.009.648.213,57
B3SA3;12,73;3,52;17,03;3,55;1,50;85,66;51,52;40,19;13,29;12,67;-0,62;-0,17;6,84;13,18;-2,34;1,46;20,86;8,82;12,22;0,42;0,58;0,22;22,44;26,63;524.265.237,91;3,58;0,75;-7,85;71.879.945.000,00
BAHI3;8,58;;-2,79;5,25;0,36;43,42;-6,44;-21,49;-9,31;-16,66;-7,34;4,14;0,60;-0,96;-0,38;0,13;-188,32;-13,00;-10,59;0,07;0,91;0,60;56,84;;32.620,52;1,63;-3,07;0,24;226.431.193,56
BALM3;10,50;1,05;-28,22;0,70;0,41;60,04;10,70;-1,99;5,25;3,61;-1,66;-0,22;0,56;0,86;-1,40;3,08;-2,48;-1,46;7,19;0,59;0,41;0,73;8,44;;4.014,30;15,00;-0,37;0,25;103.145.000,00
BALM4;10,55;1,04;-28,35;0,70;0,41;60,04;10,70;-1,99;5,28;3,61;-1,66;-0,22;0,56;0,87;-1,41;3,08;-2,48;-1,46;7,19;0,59;0,41;0,73;8,44;;4.324,93;15,00;-0,37;0,25;103.145.000,00
BAUH4;78,80;1,53;-145,05;4,16;2,52;21,97;4,34;-1,30;43,45;41,12;-2,33;-0,22;1,89;29,23;-4,63;1,23;-2,87;-1,74;-2,68;0,60;0,40;1,33;3,33;;15.939,64;18,93;-0,54;1,11;411.511.093,60
BAZA3;95,00;5,61;4,46;0,92;0,12;26,11;45,99;30,61;2,97;2,97;;;1,36;4,28;-0,13;;20,56;2,80;;0,14;0,86;0,09;17,64;79,28;263.690,79;103,67;21,31;0,94;5.325.539.925,00
BBAS3;56,26;8,28;4,84;0,97;0,07;32,66;15,94;12,40;3,76;3,76;;;0,60;2,81;-0,07;14,76;20,10;1,50;;0,07;0,92;0,12;9,97;25,65;593.716.048,26;57,82;11,62;0,22;161.208.361.545,20
BBDC3;12,88;7,86;9,90;0,82;0,07;30,94;3,95;6,18;15,50;16,33;;;0,61;0,60;-0,08;11,40;8,33;0,73;;0,09;0,91;0,12;8,37;-4,12;132.961.034,03;15,62;1,30;-0,23;144.401.526.991,50
BBDC4;14,26;7,81;10,96;0,91;0,08;30,94;3,95;6,18;17,16;16,33;;;0,68;0,66;-0,09;11,40;8,33;0,73;;0,09;0,91;0,12;8,37;-4,12;743.473.417,91;15,62;1,30;-0,26;144.401.526.991,50
BBML3;3.936,42;;48.754,69;149.535,60;154,10;6,84;2,69;0,20;3.576,72;3.586,40;9,67;404,48;96,25;-869,12;-250,59;0,68;306,71;0,32;5,37;0,00;1,00;1,60;41,29;1,17;;0,03;0,08;-384,83;160.451.699.191,56
BBSE3;32,85;8,73;8,58;6,16;4,05;;;;7,57;7,57;;;;37,98;-5,62;1,61;71,80;47,15;;0,66;0,34;0,00;;13,59;171.467.420,38;5,33;3,83;0,24;65.700.000.000,00
BDLL3;13,00;;1,48;-0,13;0,03;-28,71;-67,71;30,27;-0,66;-5,54;-5,06;;0,45;-1,49;-0,06;0,96;-9,03;2,24;-345,45;-0,25;1,25;0,07;-27,58;;7.800,00;-97,25;8,78;0,01;15.319.699,84
BDLL4;7,48;;0,85;-0,08;0,02;-28,71;-67,71;30,27;-0,38;-5,54;-5,06;;0,26;-0,86;-0,04;0,96;-9,03;2,24;-345,45;-0,25;1,25;0,07;-27,58;;5.780,60;-97,25;8,78;0,01;15.319.699,84
BEEF11;3,62;;6,02;3,50;0,08;19,88;7,42;1,32;1,08;6,53;4,38;14,28;0,08;0,31;-0,20;1,87;58,14;1,41;9,40;0,02;0,96;1,06;20,68;;;1,03;0,60;-0,11;4.378.513.364,47
BEEF3;7,21;7,64;11,99;6,97;0,17;19,88;7,42;1,32;2,14;6,53;4,38;14,28;0,16;0,62;-0,41;1,87;58,14;1,41;9,40;0,02;0,96;1,06;20,68;;58.266.087,06;1,03;0,60;-0,21;4.378.513.364,47
BEES3;8,90;6,43;8,18;1,33;0,07;27,82;9,27;6,64;5,86;6,00;;;0,54;0,88;-0,07;;16,33;0,83;;0,05;0,95;0,12;12,53;15,49;117.829,94;6,67;1,09;6,87;2.880.399.010,60
BEES4;9,71;5,89;8,92;1,46;0,07;27,82;9,27;6,64;6,39;6,00;;;0,59;0,96;-0,08;;16,33;0,83;;0,05;0,95;0,12;12,53;15,49;40.215,35;6,67;1,09;7,50;2.880.399.010,60
BFRE11;0,00;;0,00;0,00;0,00;31,58;170,29;145,51;0,00;;;;0,00;0,00;0,00;;9,21;8,19;;0,89;0,10;0,06;;13,07;;302.450,49;27.857,74;0,00;
BFRE12;0,00;;0,00;0,00;0,00;31,58;170,29;145,51;0,00;;;;0,00;0,00;0,00;;9,21;8,19;;0,89;0,10;0,06;;13,07;;302.450,49;27.857,74;0,00;
BGIP3;26,89;3,90;7,69;0,78;0,05;35,73;5,88;5,19;6,79;6,32;;;0,40;-0,38;-0,10;0,77;10,09;0,70;;0,07;0,93;0,13;8,79;-6,20;13.936,38;34,66;3,50;0,08;445.194.671,04
BGIP4;23,15;4,98;6,62;0,67;0,05;35,73;5,88;5,19;5,84;6,32;;;0,34;-0,33;-0,09;0,77;10,09;0,70;;0,07;0,93;0,13;8,79;-6,20;80.763,85;34,66;3,50;0,06;445.194.671,04
BHIA3;8,06;;-0,43;0,17;0,02;28,99;-0,55;-5,91;-4,59;-46,58;-41,99;1,58;0,03;-0,16;-0,04;0,74;-40,32;-5,54;-11,42;0,14;0,86;0,94;3,76;;47.435.913,47;46,63;-18,80;0,00;766.373.807,94
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;9,57;;-14,21;12,26;3,58;18,28;-60,40;-68,60;-16,14;-17,60;-1,46;1,11;9,75;34,92;-5,57;1,40;-86,26;-25,16;-29,62;0,29;0,71;0,37;299,61;;425.497,59;0,78;-0,67;0,93;1.213.872.973,17
BLAU3;12,45;3,39;7,06;1,13;0,73;39,36;29,85;23,41;5,53;5,86;0,32;0,07;1,65;1,94;-1,54;3,44;16,03;10,30;11,80;0,64;0,36;0,44;;;3.770.143,44;11,01;1,76;7,52;2.233.454.540,55
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;;11,21;-0,91;0,06;14.115.600,06
BMEB3;23,50;5,10;8,56;1,68;0,14;52,09;7,94;6,39;6,89;6,86;;;0,55;1,24;-0,15;;19,66;1,59;;0,08;0,92;0,25;5,94;31,72;97.802,47;13,96;2,74;0,17;2.452.385.556,80
BMEB4;25,72;5,13;9,37;1,84;0,15;52,09;7,94;6,39;7,54;6,86;;;0,60;1,35;-0,17;;19,66;1,59;;0,08;0,92;0,25;5,94;31,72;671.677,06;13,96;2,74;0,19;2.452.385.556,80
BMGB4;3,56;10,55;9,43;0,50;0,05;35,71;0,71;3,05;40,81;40,70;;;0,29;;-0,05;;5,32;0,50;;0,09;0,91;0,16;19,34;78,00;3.971.316,09;7,10;0,38;0,05;2.070.475.059,05
BMIN3;20,01;;10,07;0,70;0,37;59,27;33,24;26,08;7,90;7,67;;;2,63;81,34;-0,38;;7,00;3,71;;0,53;0,47;0,14;16,78;;8.555,29;28,39;1,99;0,22;93.811.100,02
BMIN4;16,15;;8,12;0,57;0,30;59,27;33,24;26,08;6,37;7,67;;;2,12;65,65;-0,30;;7,00;3,71;;0,53;0,47;0,14;16,78;;60.418,54;28,39;1,99;0,18;93.811.100,02
BMKS3;363,00;15,92;7,57;0,81;0,70;28,02;25,71;136,17;40,09;1,57;-38,20;-0,77;10,31;0,96;-2,88;36,30;10,66;9,28;-1,63;0,87;0,13;0,07;2,51;22,12;12.470,24;450,03;47,95;-1,80;163.755.475,00
BMOB3;13,66;1,64;17,34;1,10;0,85;24,00;7,50;5,24;12,12;6,63;-5,46;-0,50;0,91;1,83;-2,55;3,35;6,35;4,92;4,52;0,78;0,22;0,94;;;3.374.826,68;12,41;0,79;-0,80;1.184.990.285,04
BNBR3;112,00;3,16;4,28;0,94;0,15;47,54;42,45;25,39;2,56;2,56;;;1,09;3,82;-0,16;;22,00;3,48;;0,16;0,84;0,14;8,76;25,82;28.535,31;118,87;26,16;0,32;9.673.603.968,00
BOAS3;7,95;;15,22;1,83;1,70;56,53;19,25;32,39;25,60;18,69;-6,92;-0,50;4,93;3,34;-3,80;12,37;12,04;11,16;4,65;0,93;0,07;0,34;8,81;74,34;53.310.276,50;4,34;0,52;5,59;4.212.250.617,75
BOBR3;0,00;;0,00;0,00;0,00;39,60;15,89;7,28;0,00;2,74;1,55;;0,00;0,00;0,00;0,84;-149,20;11,92;59,94;-0,08;1,08;1,64;6,05;-3,28;;-0,28;0,41;0,00;277.741.484,12
BOBR4;2,26;;5,48;-8,18;0,65;39,60;15,89;7,28;2,51;2,74;1,55;;0,40;-6,82;-1,27;0,84;-149,20;11,92;59,94;-0,08;1,08;1,64;6,05;-3,28;231.378,24;-0,28;0,41;-0,02;277.741.484,12
BPAC11;37,11;2,10;16,10;2,98;0,33;19,88;23,13;19,91;13,86;13,86;;;3,20;23,11;-3,42;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;273.141.952,32;12,46;2,31;0,68;142.330.703.509,36
BPAC3;18,40;1,41;23,95;4,43;0,50;19,88;23,13;19,91;20,61;13,86;;;4,77;34,37;-5,09;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;95.448,03;4,15;0,77;1,02;142.330.703.509,36
BPAC5;9,35;2,78;12,17;2,25;0,25;19,88;23,13;19,91;10,47;13,86;;;2,42;17,46;-2,59;1,02;18,51;2,07;;0,11;0,89;0,10;46,00;33,74;76.961,03;4,15;0,77;0,52;142.330.703.509,36
BPAN4;9,11;2,36;18,58;1,57;0,22;49,84;4,88;4,32;16,43;16,43;;;0,80;;-0,22;;8,47;1,16;;0,14;0,86;0,27;8,24;41,40;25.291.550,97;5,79;0,49;-2,20;11.561.228.519,90
BPAR3;182,07;;7,65;0,94;0,10;48,75;13,16;7,91;4,59;4,59;;;0,60;6,24;-0,11;;12,30;1,36;;0,11;0,89;0,17;4,66;-0,41;;193,58;23,82;-0,44;1.733.606.633,43
BPAT33;44,05;;6,98;0,66;0,09;51,56;21,77;5,61;1,80;1,80;;;0,39;;-0,12;;9,46;1,35;;0,14;0,86;0,24;14,99;-18,89;;66,71;6,31;-0,11;1.533.769.021,00
BPHA3;0,62;;0,06;-0,24;0,99;98,02;1.029,99;13.896,67;0,80;1,66;0,85;;8,28;-0,38;-1,18;0,06;-402,50;1.669,02;-36,75;-4,15;5,15;0,12;-68,85;;;-2,58;10,40;0,00;70.110.298,74
BRAP3;19,77;13,90;3,66;0,97;0,96;;;;3,78;3,63;-0,24;-0,06;;16,92;-1,03;5,31;26,44;26,09;25,51;0,99;0,01;0,00;;-1,84;2.095.872,91;20,41;5,40;-0,06;7.973.054.282,18
BRAP4;20,56;14,70;3,81;1,01;0,99;;;;3,93;3,63;-0,24;-0,06;;17,60;-1,07;5,31;26,44;26,09;25,51;0,99;0,01;0,00;;-1,84;113.486.439,71;20,41;5,40;-0,06;7.973.054.282,18
BRBI11;16,83;7,84;12,12;2,28;0,19;17,13;2,90;9,24;38,68;34,13;-4,55;-0,27;1,12;;-0,19;;18,78;1,55;-2,15;0,08;0,92;0,17;;;4.120.870,18;7,39;1,39;11,65;1.767.077.698,32
BRBI3;0,00;;0,00;0,00;0,00;17,13;2,90;9,24;0,00;34,13;-4,55;-0,27;0,00;;0,00;;18,78;1,55;-2,15;0,08;0,92;0,17;;;;2,46;0,46;0,00;1.767.077.698,32
BRBI4;0,00;;0,00;0,00;0,00;17,13;2,90;9,24;0,00;34,13;-4,55;-0,27;0,00;;0,00;;18,78;1,55;-2,15;0,08;0,92;0,17;;;;2,46;0,46;0,00;1.767.077.698,32
BRFS3;16,91;;-7,71;2,01;0,48;14,97;-0,74;-6,84;-70,89;-98,09;-27,20;0,77;0,53;4,49;-0,93;1,29;-26,15;-6,23;-1,23;0,24;0,75;0,91;13,70;;141.385.014,97;8,39;-2,19;-0,04;28.450.622.589,86
BRGE11;13,18;;20,41;0,73;0,33;-4.173,02;-192,28;1.340,82;-142,33;82,54;225,39;-1,15;273,66;0,87;-0,74;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;13.888,27;18,16;0,65;-0,52;974.275.364,40
BRGE12;13,59;;21,04;0,75;0,34;-4.173,02;-192,28;1.340,82;-146,75;82,54;225,39;-1,15;282,17;0,90;-0,76;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;9.393,27;18,16;0,65;-0,53;974.275.364,40
BRGE3;13,50;;20,91;0,74;0,34;-4.173,02;-192,28;1.340,82;-145,78;82,54;225,39;-1,15;280,30;0,89;-0,75;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;27.513,53;18,16;0,65;-0,53;974.275.364,40
BRGE5;13,18;;20,41;0,73;0,33;-4.173,02;-192,28;1.340,82;-142,33;82,54;225,39;-1,15;273,66;0,87;-0,74;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;2.728,20;18,16;0,65;-0,52;974.275.364,40
BRGE6;12,90;;19,98;0,71;0,32;-4.173,02;-192,28;1.340,82;-139,30;82,54;225,39;-1,15;267,84;0,85;-0,72;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;23.987,47;18,16;0,65;-0,51;974.275.364,40
BRGE7;13,07;;20,24;0,72;0,33;-4.173,02;-192,28;1.340,82;-141,14;82,54;225,39;-1,15;271,37;0,86;-0,73;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;4.435,00;18,16;0,65;-0,51;974.275.364,40
BRGE8;13,17;;20,39;0,73;0,33;-4.173,02;-192,28;1.340,82;-142,22;82,54;225,39;-1,15;273,45;0,87;-0,74;3,13;3,56;1,61;-1,43;0,45;0,36;0,00;-31,54;-1,46;24.368,75;18,16;0,65;-0,52;974.275.364,40
BRIN3;39,15;0,83;53,61;1,67;0,97;100,00;11,00;5,02;24,49;24,14;-0,35;-0,02;2,69;-44,79;-1,22;0,90;3,12;1,82;5,96;0,58;0,42;0,36;21,03;;;23,43;0,73;-2,20;798.299.859,15
BRIT3;3,66;0,88;12,49;1,11;0,53;46,79;21,28;11,15;6,54;9,47;2,92;0,50;1,39;4,06;-0,68;2,30;8,88;4,20;7,70;0,47;0,53;0,38;;;2.010.485,97;3,30;0,29;0,04;1.643.687.392,56
BRIV3;12,83;;20,70;0,66;0,04;15,61;2,39;1,58;13,66;13,52;;;0,33;0,60;-0,05;7,22;3,20;0,22;;0,07;0,93;0,14;20,48;2,02;50.052,74;19,39;0,62;1,07;1.125.507.587,12
BRIV4;12,51;;20,18;0,65;0,04;15,61;2,39;1,58;13,32;13,52;;;0,32;0,59;-0,05;7,22;3,20;0,22;;0,07;0,93;0,14;20,48;2,02;171.597,23;19,39;0,62;1,05;1.125.507.587,12
BRKM3;25,66;;-4,34;4,07;0,22;2,65;-4,95;-6,47;-5,67;-12,34;-6,61;4,75;0,28;1,56;-0,37;1,54;-93,87;-5,12;-11,04;0,05;0,95;0,79;14,40;;404.736,65;6,30;-5,91;0,01;20.656.765.746,00
BRKM5;26,24;;-4,44;4,16;0,23;2,65;-4,95;-6,47;-5,80;-12,34;-6,61;4,75;0,29;1,60;-0,38;1,54;-93,87;-5,12;-11,04;0,05;0,95;0,79;14,40;;88.328.160,29;6,30;-5,91;0,01;20.656.765.746,00
BRKM6;15,99;;-2,70;2,54;0,14;2,65;-4,95;-6,47;-3,53;-12,34;-6,61;4,75;0,17;0,97;-0,23;1,54;-93,87;-5,12;-11,04;0,05;0,95;0,79;14,40;;2.200,67;6,30;-5,91;0,01;20.656.765.746,00
